t_index	 term	df
1343  amid  51
1344  amidship  2
1345  amin  1
1346  amit  1
1347  amman  2
1348  ammo  1
1349  ammonium  1
1350  ammunit  22
1351  amnesia  2
1352  amnesti  2
1353  among  182
1354  amongst  2
1355  amount  30
1356  amp  5
1357  amphibi  3
1358  ampl  2
1359  ampli  1
1360  amplifi  1
1361  amput  12
1362  an  12
1363  ana  7
1364  anacostia  1
1365  analges  1
1366  analog  1
1367  analysi  9
1368  analyst  38
1369  analyz  5
1370  anarch  2
1371  anathema  1
1372  anatoli  8
1373  anca  4
1374  ancestor  3
1375  ancestr  25
1376  ancestri  1
1377  anchor  8
1378  anchorag  2
1379  anchorman  3
1380  ancient  4
1381  and  89
1382  andean  6
1383  anderson  4
1384  andi  5
1385  andjelkov  1
1386  andoslavia  1
1387  andr  48
1388  andrea  14
1389  andrei  2
1390  andrew  15
1391  andrik  1
1392  anew  7
1393  angel  13
1394  anger  46
1395  angl  12
1396  anglican  1
1397  angri  27
1398  angrili  4
1399  anguish  8
1400  ani  12
1401  anim  2
1402  animist  2
1403  animos  11
1404  anjana  1
1405  anjar  6
1406  anjay  1
1407  ank  2
1408  ankl  8
1409  ankledeep  1
1410  ann  11
1411  anna  21
1412  annabel  1
1413  annacon  1
1414  annan  13
1415  anniversari  15
1416  announc  164
1417  annoy  2
1418  annual  18
1419  annul  11
1420  anomali  1
1421  anonym  63
1422  anoth  263
1423  answer  48
1424  antagon  1
1425  antasiaovich  1
1426  antenna  2
1427  anthem  6
1428  anthoni  27
1429  anthropologist  2
1430  anti  1
1431  antiaircraft  2
1432  antiamerican  16
1433  antiballist  2
1434  antibiot  5
1435  antibush  1
1436  anticastro  1
1437  anticip  17
1438  anticlimact  1
1439  anticommunist  2
1440  anticorrupt  2
1441  antidiarrhea  1
1442  antifbi  2
1443  antiislam  3
1444  antiisrael  2
1445  antimilitari  1
1446  antimilosev  20
1447  antimissil  1
1448  antinorthern  1
1449  antiradar  1
1450  antiship  2
1451  antisoviet  1
1452  antisubmarin  1
1453  antiterror  6
1454  antiterrorist  8
1455  antiu  9
1456  antiwar  8
1457  antiwestern  5
1458  antonia  6
1459  antonin  1
1460  antonio  26
1461  anwar  4
1462  anxieti  3
1463  anxiou  11
1464  anxious  2
1465  anybodi  14
1466  anymor  9
1467  anyon  58
1468  anyth  94
1469  anytim  4
1470  anyway  13
1471  anywher  18
1472  aok  1
1473  aon  1
1474  ap  20
1475  apart  68
1476  ape  1
1477  apec  4
1478  apex  1
1479  apolit  1
1480  apolog  18
1481  appal  1
1482  appallingli  1
1483  appar  193
1484  apparatu  7
1485  appeal  95
1486  appear  196
1487  appel  1
1488  appetit  2
1489  appl  3
1490  applaud  10
1491  applaus  8
1492  applepick  1
1493  appleton  2
1494  appli  18
1495  applic  16
1496  appoint  65
1497  appointe  3
1498  apprais  2
1499  appreci  16
1500  apprehend  4
1501  apprehens  2
1502  apprentic  3
1503  appris  1
1504  approach  49
1505  appropri  18
1506  approv  25
1507  approxim  12
1508  april  67
1509  aprista  4
1510  apron  1
1511  aquil  2
1512  ar15  1
1513  arab  61
1514  arabamerican  2
1515  arabi  1
1516  arabia  71
1517  arabian  44
1518  arabianborn  1
1519  arablanguag  3
1520  arablook  1
1521  arabspeak  1
1522  arafat  16
1523  arantxa  3
1524  arazi  7
1525  arbadi  1
1526  arbit  1
1527  arbitrari  2
1528  arbitrarili  1
1529  arc  1
1530  arch  2
1531  archaeolog  2
1532  archbishop  4
1533  archer  1
1534  archeri  4
1535  archetyp  1
1536  archi  5
1537  archibald  1
1538  architect  7
1539  architectur  4
1540  arctic  6
1541  ardent  4
1542  arduou  1
1543  are  32
1544  area  184
1545  arena  22
1546  arent  1
1547  argentin  1
1548  argentina  10
1549  argu  45
1550  arguabl  2
1551  argument  18
1552  ari  1
1553  arid  5
1554  arif  1
1555  arisen  1
1556  arithmet  1
1557  aritomi  4
1558  ariz  6
1559  arizona  7
1560  ark  8
1561  arkadelphia  1
1562  arkan  1
1563  arkansa  28
1564  arkansasbas  1
1565  arkin  2
1566  arleigh  2
1567  arleighburkeclass  1
1568  arlen  2
1569  arlington  8
1570  arm  132
1571  armament  2
1572  armbrist  1
1573  armenia  2
1574  armey  1
1575  armi  136
1576  armitag  1
1577  armor  17
1578  armori  3
1579  arn  3
1580  arnaud  17
1581  arni  1
1582  arno  1
1583  arnold  3
1584  arnot  1
1585  aros  5
1586  around  190
1587  arous  1
1588  arraign  2
1589  arrang  38
1590  array  5
1591  arrear  1
1592  arrest  109
1593  arriv  180
1594  arrog  3
1595  arrow  4
1596  arsen  10
1597  arseni  1
1598  arsonist  1
1599  art  9
1600  arthriti  1
1601  arthur  4
1602  articl  5
1603  articul  1
1604  artifact  1
1605  artifici  4
1606  artist  4
1607  artudo  1
1608  arturo  6
1609  aruba  2
1610  aryapov  1
1611  as  36
1612  asa  1
1613  asahi  1
1614  ascend  1
1615  ascrib  4
1616  asean  1
1617  ash  4
1618  asham  1
1619  ashcroft  56
1620  ashkroft  1
1621  ashok  1
1622  ashor  2
1623  ashraf  1
1624  ashshaab  1
1625  ashtray  1
1626  asia  22
1627  asian  15
1628  asiapacif  16
1629  asid  30
1630  ask  196
1631  aspect  11
1632  aspir  2
1633  assad  1
1634  assail  4
1635  assam  6
1636  assassin  21
1637  assault  28
1638  assembl  18
1639  assemblyforexport  1
1640  assert  17
1641  assess  48
1642  asset  10
1643  assign  24
1644  assist  76
1645  assistedsuicid  1
1646  associ  117
1647  associateturnedinform  3
1648  assort  1
1649  assum  38
1650  assumpt  7
1651  assur  35
1652  assuredli  2
1653  astakhov  12
1654  asterisk  2
1655  astonish  7
1656  astound  2
1657  astronom  1
1658  astut  1
1659  asylum  29
1660  asymmetr  2
1661  at  19
1662  atal  13
1663  atck  2
1664  ate  4
1665  atf  2
1666  atfein  1
1667  ath  1
1668  athal  1
1669  athlet  3
1670  atlant  15
1671  atlanta  6
1672  atmat  1
1673  atmospher  10
1674  atom  4
1675  atop  13
1676  atp  3
1677  atroc  10
1678  atrophi  1
1679  atsea  3
1680  attach  15
1681  attack  306
1682  attain  1
1683  attempt  112
1684  attend  68
1685  attent  64
1686  attest  2
1687  attitud  10
1688  attorney  58
1689  attract  15
1690  attribut  12
1691  attrit  1
1692  atwan  1
1693  aubrey  19
1694  aubri  5
1695  audienc  16
1696  audio  4
1697  audiotap  1
1698  auditor  5
1699  auditorium  1
1700  aug  33
1701  augment  1
1702  august  32
1703  aunt  2
1704  aur  5
1705  aura  1
1706  aurora  4
1707  ausi  1
1708  aussi  9
1709  auster  2
1710  austin  18
1711  australia  23
1712  australian  72
1713  austria  3
1714  austrian  1
1715  austrohungarian  1
1716  authent  2
1717  author  255
1718  authoritarian  27
1719  auto  1
1720  autocrat  27
1721  autograph  1
1722  autom  1
1723  automat  18
1724  automobil  4
1725  autonom  1
1726  autonomi  3
1727  autopilot  1
1728  autopsi  1
1729  autumn  2
1730  avail  44
1731  avala  1
1732  avalanch  1
1733  ave  1
1734  aveng  7
1735  avent  1
1736  avenu  4
1737  averag  14
1738  avert  6
1739  aviat  3
1740  aviv  4
